ಅಂಕ	ಅ ಂ ಕ |
ಅಜ್ಜಿಯಂದಿರು	ಅ ಜ ್ ಜ ಿ ಯ ಂ ದ ಿ ರ ು |
ಅಜ್ಮೇರ್	ಅ ಜ ್ ಮ ೇ ರ ್ |
ಅಟಲ್	ಅ ಟ ಲ ್ |
ಅಟ್ಟ	ಅ ಟ ್ ಟ |
ಅಟ್ಟುಪಟ್ಟು	ಅ ಟ ್ ಟ ು ಪ ಟ ್ ಟ ು |
ಅಡಿ	ಅ ಡ ಿ |
ಅಡಿಗೆ	ಅ ಡ ಿ ಗ ೆ |
ಅಡ್ವಾಣಿ	ಅ ಡ ್ ವ ಾ ಣ ಿ |
ಅಡ್ವಾನಿ	ಅ ಡ ್ ವ ಾ ನ ಿ |
ಅಣ್ಣ	ಅ ಣ ್ ಣ |
ಅತಿ	ಅ ತ ಿ |
ಅತಿಯಾಗಿ	ಅ ತ ಿ ಯ ಾ ಗ ಿ |
ಅತಿಯಾದ	ಅ ತ ಿ ಯ ಾ ದ |
ಅತ್ತೆ	ಅ ತ ್ ತ ೆ |
ಅತ್ಯಂತ	ಅ ತ ್ ಯ ಂ ತ |
ಅತ್ಯುತ್ತಮ	ಅ ತ ್ ಯ ು ತ ್ ತ ಮ |
ಅತ್ರಿಟನ್	ಅ ತ ್ ರ ಿ ಟ ನ ್ |
ಅಥವಾ	ಅ ಥ ವ ಾ |
ಅದಕ್ಕಾಗಿ	ಅ ದ ಕ ್ ಕ ಾ ಗ ಿ |
ಅದಕ್ಕೆ	ಅ ದ ಕ ್ ಕ ೆ |
ಅದನ್ನು	ಅ ದ ನ ್ ನ ು |
ಅದರ	ಅ ದ ರ |
ಅದರಂತೆ	ಅ ದ ರ ಂ ತ ೆ |
ಅದು	ಅ ದ ು |
ಅದ್ಭುತ	ಅ ದ ್ ಭ ು ತ |
ಅಧಿಕ	ಅ ಧ ಿ ಕ |
ಅಧಿಕಾರ	ಅ ಧ ಿ ಕ ಾ ರ |
ಅಧಿಕಾರಿ	ಅ ಧ ಿ ಕ ಾ ರ ಿ |
ಅಧಿಕೃತ	ಅ ಧ ಿ ಕ ೃ ತ |
ಅಧಿವೇಶನ	ಅ ಧ ಿ ವ ೇ ಶ ನ |
ಅಧ್ಯಕ್ಷ	ಅ ಧ ್ ಯ ಕ ್ ಷ |
ಅಧ್ಯಯನ	ಅ ಧ ್ ಯ ಯ ನ |
ಅಧ್ಯಾಯ	ಅ ಧ ್ ಯ ಾ ಯ |
ಅನಂತನಾಗ್	ಅ ನ ಂ ತ ನ ಾ ಗ ್ |
ಅನಂತಪುರ	ಅ ನ ಂ ತ ಪ ು ರ |
ಅನಂತಮೂರ್ತಿ	ಅ ನ ಂ ತ ಮ ೂ ರ ್ ತ ಿ |
ಅನಂತರ	ಅ ನ ಂ ತ ರ |
ಅನಾಥ	ಅ ನ ಾ ಥ |
ಅನಿಲ್	ಅ ನ ಿ ಲ ್ |
ಅನಿವಾರ್ಯ	ಅ ನ ಿ ವ ಾ ರ ್ ಯ |
ಅನಿಸು	ಅ ನ ಿ ಸ ು |
ಅನುಕೂಲ	ಅ ನ ು ಕ ೂ ಲ |
ಅನುಪಮ್	ಅ ನ ು ಪ ಮ ್ |
ಅನುಭವ	ಅ ನ ು ಭ ವ |
ಅನುಭವಿಸು	ಅ ನ ು ಭ ವ ಿ ಸ ು |
ಅನುಮತಿ	ಅ ನ ು ಮ ತ ಿ |
ಅನುಮಾನ	ಅ ನ ು ಮ ಾ ನ |
ಅನುವಾದ	ಅ ನ ು ವ ಾ ದ |
ಅನುಸರಿಸು	ಅ ನ ು ಸ ರ ಿ ಸ ು |
ಅನುಸೂಯ	ಅ ನ ು ಸ ೂ ಯ |
ಅನೇಕ	ಅ ನ ೇ ಕ |
ಅನ್ನ	ಅ ನ ್ ನ |
ಅನ್ನು	ಅ ನ ್ ನ ು |
ಅನ್ಯಾಯ	ಅ ನ ್ ಯ ಾ ಯ |
ಅನ್ವರ್	ಅ ನ ್ ವ ರ ್ |
ಅಪರೂಪ	ಅ ಪ ರ ೂ ಪ |
ಅಪಾಯ	ಅ ಪ ಾ ಯ |
ಅಪಾರ	ಅ ಪ ಾ ರ |
ಅಪ್ಪ	ಅ ಪ ್ ಪ |
ಅಫ್ಜಲ್	ಅ ಫ ್ ಜ ಲ ್ |
ಅಫ್ರಿದಿ	ಅ ಫ ್ ರ ಿ ದ ಿ |
ಅಬೊಹರ	ಅ ಬ ೊ ಹ ರ |
ಅಬ್ಗುಲ್	ಅ ಬ ್ ಗ ು ಲ ್ |
ಅಬ್ದುಲ್	ಅ ಬ ್ ದ ು ಲ ್ |
ಅಬ್ಬಾಸ್	ಅ ಬ ್ ಬ ಾ ಸ ್ |
ಅಭಯ್	ಅ ಭ ಯ ್ |
ಅಭಿನವ	ಅ ಭ ಿ ನ ವ |
ಅಭಿಪ್ರಾಯ	ಅ ಭ ಿ ಪ ್ ರ ಾ ಯ |
ಅಭಿಮಾನಿ	ಅ ಭ ಿ ಮ ಾ ನ ಿ |
ಅಭಿವೃದ್ಧಿ	ಅ ಭ ಿ ವ ೃ ದ ್ ಧ ಿ |
ಅಭಿವ್ಯಕ್ತಿ	ಅ ಭ ಿ ವ ್ ಯ ಕ ್ ತ ಿ |
ಅಭಿಷೇಕ್	ಅ ಭ ಿ ಷ ೇ ಕ ್ |
ಅಭ್ಯರ್ಥಿ	ಅ ಭ ್ ಯ ರ ್ ಥ ಿ |
ಅಭ್ಯಾಸ	ಅ ಭ ್ ಯ ಾ ಸ |
ಅಮಜತ್	ಅ ಮ ಜ ತ ್ |
ಅಮರನಾಥ್	ಅ ಮ ರ ನ ಾ ಥ ್ |
ಅಮರಾವತಿ	ಅ ಮ ರ ಾ ವ ತ ಿ |
ಅಮರೀಶ್	ಅ ಮ ರ ೀ ಶ ್ |
ಅಮರ್	ಅ ಮ ರ ್ |
ಅಮರ್ತ್ಯ	ಅ ಮ ರ ್ ತ ್ ಯ |
ಅಮಿತಾಬ್	ಅ ಮ ಿ ತ ಾ ಬ ್ |
ಅಮೀನ್	ಅ ಮ ೀ ನ ್ |
ಅಮೂಲ್ಯ	ಅ ಮ ೂ ಲ ್ ಯ |
ಅಮೃತಸರ	ಅ ಮ ೃ ತ ಸ ರ |
ಅಮ್ಮ	ಅ ಮ ್ ಮ |
ಅಯೋಧ್ಯ	ಅ ಯ ೋ ಧ ್ ಯ |
ಅಯ್ಯಂಗಾರ್	ಅ ಯ ್ ಯ ಂ ಗ ಾ ರ ್ |
ಅಯ್ಯರ್	ಅ ಯ ್ ಯ ರ ್ |
ಅರಕಲಗೂಡು	ಅ ರ ಕ ಲ ಗ ೂ ಡ ು |
ಅರಚುತ್ತವೆ	ಅ ರ ಚ ು ತ ್ ತ ವ ೆ |
ಅರಣ್ಯ	ಅ ರ ಣ ್ ಯ |
ಅರಮನೆ	ಅ ರ ಮ ನ ೆ |
ಅರವತ್ತನಾಲ್ಕು	ಅ ರ ವ ತ ್ ತ ನ ಾ ಲ ್ ಕ ು |
ಅರವತ್ತಮೂರು	ಅ ರ ವ ತ ್ ತ ಮ ೂ ರ ು |
ಅರವತ್ತಾರು	ಅ ರ ವ ತ ್ ತ ಾ ರ ು |
ಅರವತ್ತು	ಅ ರ ವ ತ ್ ತ ು |
ಅರವತ್ತೆಂಟು	ಅ ರ ವ ತ ್ ತ ೆ ಂ ಟ ು |
ಅರವತ್ತೆರಡು	ಅ ರ ವ ತ ್ ತ ೆ ರ ಡ ು |
ಅರವತ್ತೇಳು	ಅ ರ ವ ತ ್ ತ ೇ ಳ ು |
ಅರವತ್ತೈದು	ಅ ರ ವ ತ ್ ತ ೈ ದ ು |
ಅರವತ್ತೊಂದು	ಅ ರ ವ ತ ್ ತ ೊ ಂ ದ ು |
ಅರವತ್ತೊಂಬತ್ತು	ಅ ರ ವ ತ ್ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ಅರವಿಂದ್	ಅ ರ ವ ಿ ಂ ದ ್ |
ಅರಸ	ಅ ರ ಸ |
ಅರಸೀಕೆರೆ	ಅ ರ ಸ ೀ ಕ ೆ ರ ೆ |
ಅರಸ್	ಅ ರ ಸ ್ |
ಅರಿ	ಅ ರ ಿ |
ಅರಿತುಕೊಳ್ಳಬೇಕು	ಅ ರ ಿ ತ ು ಕ ೊ ಳ ್ ಳ ಬ ೇ ಕ ು |
ಅರಿವು	ಅ ರ ಿ ವ ು |
ಅರುಣ್	ಅ ರ ು ಣ ್ |
ಅರುನ್	ಅ ರ ು ನ ್ |
ಅರೋರಾ	ಅ ರ ೋ ರ ಾ |
ಅರ್ಜಿ	ಅ ರ ್ ಜ ಿ |
ಅರ್ಜುನ್	ಅ ರ ್ ಜ ು ನ ್ |
ಅರ್ಥ	ಅ ರ ್ ಥ |
ಅರ್ಧ	ಅ ರ ್ ಧ |
ಅರ್ಧಗಂಟೆಯಲ್ಲಿ	ಅ ರ ್ ಧ ಗ ಂ ಟ ೆ ಯ ಲ ್ ಲ ಿ |
ಅರ್ಹ	ಅ ರ ್ ಹ |
ಅಲವಾರ್	ಅ ಲ ವ ಾ ರ ್ |
ಅಲಿ	ಅ ಲ ಿ |
ಅಲೀಗಢ್	ಅ ಲ ೀ ಗ ಢ ್ |
ಅಲೋಕ್	ಅ ಲ ೋ ಕ ್ |
ಅಲ್ಪ	ಅ ಲ ್ ಪ |
ಅಲ್ಬರ್ಟ್	ಅ ಲ ್ ಬ ರ ್ ಟ ್ |
ಅಲ್ಲ	ಅ ಲ ್ ಲ |
ಅಲ್ಲದೆ	ಅ ಲ ್ ಲ ದ ೆ |
ಅಲ್ಲವೆ	ಅ ಲ ್ ಲ ವ ೆ |
ಅಲ್ಲಿ	ಅ ಲ ್ ಲ ಿ |
ಅಲ್ಲೂ	ಅ ಲ ್ ಲ ೂ |
ಅಲ್ಲೇ	ಅ ಲ ್ ಲ ೇ |
ಅಳತೆ	ಅ ಳ ತ ೆ |
ಅಳಿಯ	ಅ ಳ ಿ ಯ |
ಅಳುತ್ತಿದೆ	ಅ ಳ ು ತ ್ ತ ಿ ದ ೆ |
ಅವಕಾಶ	ಅ ವ ಕ ಾ ಶ |
ಅವಧಿ	ಅ ವ ಧ ಿ |
ಅವನ	ಅ ವ ನ |
ಅವನು	ಅ ವ ನ ು |
ಅವನ್ನು	ಅ ವ ನ ್ ನ ು |
ಅವರ	ಅ ವ ರ |
ಅವರು	ಅ ವ ರ ು |
ಅವರೆಲ್ಲ	ಅ ವ ರ ೆ ಲ ್ ಲ |
ಅವರೆಲ್ಲರ	ಅ ವ ರ ೆ ಲ ್ ಲ ರ |
ಅವಳ	ಅ ವ ಳ |
ಅವಳಿಗೆ	ಅ ವ ಳ ಿ ಗ ೆ |
ಅವಳು	ಅ ವ ಳ ು |
ಅವಶ್ಯಕತೆ	ಅ ವ ಶ ್ ಯ ಕ ತ ೆ |
ಅವು	ಅ ವ ು |
ಅವ್ವ	ಅ ವ ್ ವ |
ಅಶೋಕ	ಅ ಶ ೋ ಕ |
ಅಶ್ವಥ್	ಅ ಶ ್ ವ ಥ ್ |
ಅಶ್ವಿನಿ	ಅ ಶ ್ ವ ಿ ನ ಿ |
ಅಷ್ಟರಲ್ಲಿ	ಅ ಷ ್ ಟ ರ ಲ ್ ಲ ಿ |
ಅಷ್ಟು	ಅ ಷ ್ ಟ ು |
ಅಸಮಾಧಾನ	ಅ ಸ ಮ ಾ ಧ ಾ ನ |
ಅಸಾಧ್ಯ	ಅ ಸ ಾ ಧ ್ ಯ |
ಅಸ್ತಿತ್ವ	ಅ ಸ ್ ತ ಿ ತ ್ ವ |
ಅಹಮದಾಬಾದ್	ಅ ಹ ಮ ದ ಾ ಬ ಾ ದ ್ |
ಅಹಮದ್	ಅ ಹ ಮ ದ ್ |
ಅಹಿಂದ	ಅ ಹ ಿ ಂ ದ |
ಆ	ಆ |
ಆಂಗಲೋಂಗ್	ಆ ಂ ಗ ಲ ೋ ಂ ಗ ್ |
ಆಂಗ್ಲ	ಆ ಂ ಗ ್ ಲ |
ಆಂತರಿಕ	ಆ ಂ ತ ರ ಿ ಕ |
ಆಂಧ್ರಪ್ರದೇಶ್	ಆ ಂ ಧ ್ ರ ಪ ್ ರ ದ ೇ ಶ ್ |
ಆಕರ್ಷಕ	ಆ ಕ ರ ್ ಷ ಕ |
ಆಕಾಶ	ಆ ಕ ಾ ಶ |
ಆಕಾಶದಲ್ಲಿ	ಆ ಕ ಾ ಶ ದ ಲ ್ ಲ ಿ |
ಆಕೆ	ಆ ಕ ೆ |
ಆಗ	ಆ ಗ |
ಆಗಬಹುದು	ಆ ಗ ಬ ಹ ು ದ ು |
ಆಗಲ್ಲ	ಆ ಗ ಲ ್ ಲ |
ಆಗಸ್ಟ್	ಆ ಗ ಸ ್ ಟ ್ |
ಆಗಾ	ಆ ಗ ಾ |
ಆಗಿದೆ	ಆ ಗ ಿ ದ ೆ |
ಆಗಿನ	ಆ ಗ ಿ ನ |
ಆಗು	ಆ ಗ ು |
ಆಗುತ್ತಾಳೆ	ಆ ಗ ು ತ ್ ತ ಾ ಳ ೆ |
ಆಗ್ನೇಯ	ಆ ಗ ್ ನ ೇ ಯ |
ಆಗ್ರಾ	ಆ ಗ ್ ರ ಾ |
ಆಚರಣೆ	ಆ ಚ ರ ಣ ೆ |
ಆಚರಿಸುತ್ತಾರೆ	ಆ ಚ ರ ಿ ಸ ು ತ ್ ತ ಾ ರ ೆ |
ಆಚಾರ	ಆ ಚ ಾ ರ |
ಆಚಾರಗಳನ್ನು	ಆ ಚ ಾ ರ ಗ ಳ ನ ್ ನ ು |
ಆಜಂಮಗಢ್	ಆ ಜ ಂ ಮ ಗ ಢ ್ |
ಆಟ	ಆ ಟ |
ಆಟಗಾರ	ಆ ಟ ಗ ಾ ರ |
ಆಡಬೇಡ	ಆ ಡ ಬ ೇ ಡ |
ಆಡಳಿತ	ಆ ಡ ಳ ಿ ತ |
ಆಡಿದ	ಆ ಡ ಿ ದ |
ಆಡು	ಆ ಡ ು |
ಆತ	ಆ ತ |
ಆತಂಕ	ಆ ತ ಂ ಕ |
ಆತಿಥೇಯ	ಆ ತ ಿ ಥ ೇ ಯ |
ಆತ್ಮ	ಆ ತ ್ ಮ |
ಆತ್ಮಕ್ಕೆ	ಆ ತ ್ ಮ ಕ ್ ಕ ೆ |
ಆತ್ಮವಿಶ್ವಾಸ	ಆ ತ ್ ಮ ವ ಿ ಶ ್ ವ ಾ ಸ |
ಆದಕಾರಣ	ಆ ದ ಕ ಾ ರ ಣ |
ಆದರೂ	ಆ ದ ರ ೂ |
ಆದರೆ	ಆ ದ ರ ೆ |
ಆದರ್ಶ	ಆ ದ ರ ್ ಶ |
ಆದಾಗ್ಯೂ	ಆ ದ ಾ ಗ ್ ಯ ೂ |
ಆದಾಯ	ಆ ದ ಾ ಯ |
ಆದಿಚುಂಚನಗಿರಿ	ಆ ದ ಿ ಚ ು ಂ ಚ ನ ಗ ಿ ರ ಿ |
ಆದಿಲಾಬಾದ್	ಆ ದ ಿ ಲ ಾ ಬ ಾ ದ ್ |
ಆದುದರಿಂದ	ಆ ದ ು ದ ರ ಿ ಂ ದ |
ಆದೇಶ	ಆ ದ ೇ ಶ |
ಆದ್ದರಿಂದ	ಆ ದ ್ ದ ರ ಿ ಂ ದ |
ಆಧಾರ	ಆ ಧ ಾ ರ |
ಆಧುನಿಕ	ಆ ಧ ು ನ ಿ ಕ |
ಆಧ್ಯಾತ್ಮಿಕ	ಆ ಧ ್ ಯ ಾ ತ ್ ಮ ಿ ಕ |
ಆನಂತರ	ಆ ನ ಂ ತ ರ |
ಆನಂದ	ಆ ನ ಂ ದ |
ಆನಂದ್	ಆ ನ ಂ ದ ್ |
ಆನೆಕಲ್	ಆ ನ ೆ ಕ ಲ ್ |
ಆಪ್ತ	ಆ ಪ ್ ತ |
ಆಪ್ತಮಿತ್ರ	ಆ ಪ ್ ತ ಮ ಿ ತ ್ ರ |
ಆಫೀಸಿನಲ್ಲಿ	ಆ ಫ ೀ ಸ ಿ ನ ಲ ್ ಲ ಿ |
ಆಭರಣಗಳಲ್ಲಿ	ಆ ಭ ರ ಣ ಗ ಳ ಲ ್ ಲ ಿ |
ಆಭರಣವಾಗಿದೆ	ಆ ಭ ರ ಣ ವ ಾ ಗ ಿ ದ ೆ |
ಆಮೀರ	ಆ ಮ ೀ ರ |
ಆಮೆ	ಆ ಮ ೆ |
ಆಮೇಲೆ	ಆ ಮ ೇ ಲ ೆ |
ಆಯಾ	ಆ ಯ ಾ |
ಆಯಿಜೋಲ್	ಆ ಯ ಿ ಜ ೋ ಲ ್ |
ಆಯಿತು	ಆ ಯ ಿ ತ ು |
ಆಯೋಗ	ಆ ಯ ೋ ಗ |
ಆಯ್ಕಿಡೋ	ಆ ಯ ್ ಕ ಿ ಡ ೋ |
ಆಯ್ಕೆ	ಆ ಯ ್ ಕ ೆ |
ಆರ	ಆ ರ |
ಆರಂಭ	ಆ ರ ಂ ಭ |
ಆರನೆಯ	ಆ ರ ನ ೆ ಯ |
ಆರನೇ	ಆ ರ ನ ೇ |
ಆರು	ಆ ರ ು |
ಆರುಷಿ	ಆ ರ ು ಷ ಿ |
ಆರೂನೂರು	ಆ ರ ೂ ನ ೂ ರ ು |
ಆರೋಗ್ಯ	ಆ ರ ೋ ಗ ್ ಯ |
ಆರೋಗ್ಯಕ್ಕೆ	ಆ ರ ೋ ಗ ್ ಯ ಕ ್ ಕ ೆ |
ಆರೋಗ್ಯವೂ	ಆ ರ ೋ ಗ ್ ಯ ವ ೂ |
ಆರೋಪ	ಆ ರ ೋ ಪ |
ಆರ್	ಆ ರ ್ |
ಆರ್ತುರ್	ಆ ರ ್ ತ ು ರ ್ |
ಆರ್ಥಿಕ	ಆ ರ ್ ಥ ಿ ಕ |
ಆಲಿ	ಆ ಲ ಿ |
ಆಲೂರು	ಆ ಲ ೂ ರ ು |
ಆಲೋಚನೆ	ಆ ಲ ೋ ಚ ನ ೆ |
ಆಳ	ಆ ಳ |
ಆಳು	ಆ ಳ ು |
ಆವಸ್ಥಿ	ಆ ವ ಸ ್ ಥ ಿ |
ಆಶಯ	ಆ ಶ ಯ |
ಆಶಾಢ	ಆ ಶ ಾ ಢ |
ಆಶಿಷ್	ಆ ಶ ಿ ಷ ್ |
ಆಶ್ಚರ್ಯ	ಆ ಶ ್ ಚ ರ ್ ಯ |
ಆಶ್ರಯ	ಆ ಶ ್ ರ ಯ |
ಆಸಕ್ತಿ	ಆ ಸ ಕ ್ ತ ಿ |
ಆಸನ್	ಆ ಸ ನ ್ |
ಆಸಿಫ್	ಆ ಸ ಿ ಫ ್ |
ಆಸೆ	ಆ ಸ ೆ |
ಆಸ್ತಿ	ಆ ಸ ್ ತ ಿ |
ಆಸ್ತಿಯ	ಆ ಸ ್ ತ ಿ ಯ |
ಆಸ್ಪತ್ರೆ	ಆ ಸ ್ ಪ ತ ್ ರ ೆ |
ಆಹಾರ	ಆ ಹ ಾ ರ |
ಇಂಚು	ಇ ಂ ಚ ು |
ಇಂಜಾಮಾಂ	ಇ ಂ ಜ ಾ ಮ ಾ ಂ |
ಇಂಜಿನಿಯರ್	ಇ ಂ ಜ ಿ ನ ಿ ಯ ರ ್ |
ಇಂಡಿ	ಇ ಂ ಡ ಿ |
ಇಂಡೋರ್	ಇ ಂ ಡ ೋ ರ ್ |
ಇಂಥ	ಇ ಂ ಥ |
ಇಂದಿನ	ಇ ಂ ದ ಿ ನ |
ಇಂದಿರಾ	ಇ ಂ ದ ಿ ರ ಾ |
ಇಂದು	ಇ ಂ ದ ು |
ಇಂದ್ರ	ಇ ಂ ದ ್ ರ |
ಇಂಪು	ಇ ಂ ಪ ು |
ಇಂಫಾಲ್	ಇ ಂ ಫ ಾ ಲ ್ |
ಇಎಎಸ್	ಇ ಎ ಎ ಸ ್ |
ಇಚ್ಛೆ	ಇ ಚ ್ ಛ ೆ |
ಇಟಾರಸೀ	ಇ ಟ ಾ ರ ಸ ೀ |
ಇಟ್ಟು	ಇ ಟ ್ ಟ ು |
ಇಟ್ಟುಕೊಳ್ಳಬೇಕು	ಇ ಟ ್ ಟ ು ಕ ೊ ಳ ್ ಳ ಬ ೇ ಕ ು |
ಇಡಿಯಾಗಿ	ಇ ಡ ಿ ಯ ಾ ಗ ಿ |
ಇಡೀ	ಇ ಡ ೀ |
ಇಡು	ಇ ಡ ು |
ಇಡುತ್ತೇವೆ	ಇ ಡ ು ತ ್ ತ ೇ ವ ೆ |
ಇಡ್ಲಿ	ಇ ಡ ್ ಲ ಿ |
ಇಡ್ಲಿಯನ್ನು	ಇ ಡ ್ ಲ ಿ ಯ ನ ್ ನ ು |
ಇತರ	ಇ ತ ರ |
ಇತರೆ	ಇ ತ ರ ೆ |
ಇತಿಹಾಸ	ಇ ತ ಿ ಹ ಾ ಸ |
ಇತ್ತೀಚೆಗೆ	ಇ ತ ್ ತ ೀ ಚ ೆ ಗ ೆ |
ಇತ್ತು	ಇ ತ ್ ತ ು |
ಇತ್ಯಾದಿ	ಇ ತ ್ ಯ ಾ ದ ಿ |
ಇದಕ್ಕೆ	ಇ ದ ಕ ್ ಕ ೆ |
ಇದಾಯಿ	ಇ ದ ಾ ಯ ಿ |
ಇದು	ಇ ದ ು |
ಇದುಕೀ	ಇ ದ ು ಕ ೀ |
ಇದೆ	ಇ ದ ೆ |
ಇದ್ದ	ಇ ದ ್ ದ |
ಇದ್ದರು	ಇ ದ ್ ದ ರ ು |
ಇದ್ದವರು	ಇ ದ ್ ದ ವ ರ ು |
ಇದ್ದವು	ಇ ದ ್ ದ ವ ು |
ಇದ್ದಾರೆ	ಇ ದ ್ ದ ಾ ರ ೆ |
ಇದ್ದು	ಇ ದ ್ ದ ು |
ಇದ್ದೇ	ಇ ದ ್ ದ ೇ |
ಇನ್ನು	ಇ ನ ್ ನ ು |
ಇನ್ನೂ	ಇ ನ ್ ನ ೂ |
ಇನ್ನೂರು	ಇ ನ ್ ನ ೂ ರ ು |
ಇಪ್ಪತೆಂಟು	ಇ ಪ ್ ಪ ತ ೆ ಂ ಟ ು |
ಇಪ್ಪತೊಂಬತ್ತು	ಇ ಪ ್ ಪ ತ ೊ ಂ ಬ ತ ್ ತ ು |
ಇಪ್ಪತ್ತಮೂರು	ಇ ಪ ್ ಪ ತ ್ ತ ಮ ೂ ರ ು |
ಇಪ್ಪತ್ತಾರು	ಇ ಪ ್ ಪ ತ ್ ತ ಾ ರ ು |
ಇಪ್ಪತ್ತು	ಇ ಪ ್ ಪ ತ ್ ತ ು |
ಇಪ್ಪತ್ತೆರಡು	ಇ ಪ ್ ಪ ತ ್ ತ ೆ ರ ಡ ು |
ಇಪ್ಪತ್ತೇಳು	ಇ ಪ ್ ಪ ತ ್ ತ ೇ ಳ ು |
ಇಪ್ಪತ್ತೈದು	ಇ ಪ ್ ಪ ತ ್ ತ ೈ ದ ು |
ಇಪ್ಪತ್ತೊಂದು	ಇ ಪ ್ ಪ ತ ್ ತ ೊ ಂ ದ ು |
ಇಪ್ಪತ್ನಾಲ್ಕು	ಇ ಪ ್ ಪ ತ ್ ನ ಾ ಲ ್ ಕ ು |
ಇಬ್ಬರು	ಇ ಬ ್ ಬ ರ ು |
ಇಮ್ರಾಂ	ಇ ಮ ್ ರ ಾ ಂ |
